,genes_num,Method,replicate,time_s,mem_gb
0,1000,CASTLES-DISCO,1,720.15,3.802344
1,1000,CASTLES-DISCO,2,684.18,3.546136
2,1000,CASTLES-DISCO,3,731.6099999999999,3.821608
3,1000,CASTLES-DISCO,4,642.3299999999999,3.097776
4,1000,CASTLES-DISCO,5,786.35,4.109132
5,1000,CASTLES-DISCO,6,546.1,3.235676
6,1000,CASTLES-DISCO,7,572.7,3.264676
7,1000,CASTLES-DISCO,8,566.05,3.378864
8,1000,CASTLES-DISCO,9,550.8,3.105396
9,1000,CASTLES-DISCO,10,547.0,2.98832
10,1000,CASTLES-Pro,1,69.61,4.24402
11,1000,CASTLES-Pro,2,99.82,3.959824
12,1000,CASTLES-Pro,3,107.50999999999999,4.2662
13,1000,CASTLES-Pro,4,193.69,3.411656
14,1000,CASTLES-Pro,5,132.0,4.522204
15,1000,CASTLES-Pro,6,168.68,3.579652
16,1000,CASTLES-Pro,7,106.11,3.590932
17,1000,CASTLES-Pro,8,159.3,3.749544
18,1000,CASTLES-Pro,9,70.92,3.405632
19,1000,CASTLES-Pro,10,66.12,3.25066
